Ruby,JavaScript,C,C++,Shell,Makefile,Assembly,Objective-C,TeX,Roff,M4,Ada,Pascal,C#,HTML,DIGITAL Command Language,Perl,CMake,DTrace,Python,CLIPS,Batchfile,SAS,Module Management System,PHP,GDB,VBScript,CSS,ActionScript,Ragel,CoffeeScript,Erlang,Emacs Lisp,Java,Groff,Arc,Scheme,Bison,Io
3828.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28684.0,,,,,,,,,,,,,,,,,,,299.0,,,,,,,,,,,,,,,,,,,
,,,,486.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203354.0,74465.0,,
3678613.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102754.0,116753.0,,,,,,,,,,,,,,,102.0,,,,,,,,,,,,,,,,,,,,,,
287948.0,35067.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8378.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60879.0,,,499.0,,,,,,,,,,,,,,,34943.0,,,,,,,,,,,,,,,,,,,
2936.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56694.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143767.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119063.0,25082.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7346.0,,,,,,
123570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179074.0,6567.0,8723.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102917.0,102391.0,,,,,,,,,,,,,,,,,,,,,,,1052.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,114230.0,,,,,,,,,,,,,,,,,,,
54320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5384.0,,
5242.0,213271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65449.0,,,,,,,,,,,,,,312.0,,,,,,,,,,,,,,,,,,,,,,,,
10725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9045191.0,7338.0,,,,,,,,,,,,,,,,,,,,,,,,,,126529.0,,,,,,,,,,965.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1152.0,,,,,,,,,,,16836.0
109978.0,25082.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71584.0,25082.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16911.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121876.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36969.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34700.0,20126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
